#Release 13.3 - par O.76xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Fri Nov  4 11:46:32 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       syn_tdc.ncd
#OUTPUT FILE:      par_tdc_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,,IPAD,MGTREFCLK1P_101,UNUSED,,,,,,,,,,,
C12,,,GND,,,,,,,,,,,,
C13,,IPAD,MGTRXN0_123,UNUSED,,,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
C16,,,GND,,,,,,,,,,,,
C17,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
C18,pll_ld_i,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,YES,NONE,
C19,mute_inputs_o,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
C20,spec_aux5_o,IOB,IO_L20P_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,NO,NONE,
C21,,,VCCO_1,,,1,,,,,1.80,,,,
C22,spec_aux0_i,IOB,IO_L20N_1,INPUT,LVCMOS18,1,,,,NONE,,LOCATED,YES,NONE,
D1,,IOBS,IO_L59N_3,UNUSED,,3,,,,,,,,,
D2,,IOBM,IO_L59P_3,UNUSED,,3,,,,,,,,,
D3,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
D4,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
D5,spec_led_red_o,IOB,IO_L2N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
D6,,,GND,,,,,,,,,,,,
D7,,IPAD,MGTRXP0_101,UNUSED,,,,,,,,,,,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IPAD,MGTREFCLK1N_101,UNUSED,,,,,,,,,,,
D12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
D13,,IPAD,MGTRXP0_123,UNUSED,,,,,,,,,,,
D14,,,MGTAVTTRX_123,,,,,,,,,,,,
D15,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,pll_refmon_i,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D18,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
D19,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
D20,,,TMS,,,,,,,,,,,,
D21,spec_aux1_i,IOB,IO_L28P_1,INPUT,LVCMOS18,1,,,,NONE,,LOCATED,YES,NONE,
D22,,IOBS,IO_L28N_VREF_1,VREF Required,,1,,,,,0.90,,,,
E1,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
E2,,,GND,,,,,,,,,,,,
E3,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
E4,,IOBS,IO_L60N_3,UNUSED,,3,,,,,,,,,
E5,spec_led_green_o,IOB,IO_L4P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
E6,term_en_5_o,IOB,IO_L4N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
E7,,,GND,,,,,,,,,,,,
E8,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,,,MGTAVCC_123,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IPAD,MGTREFCLK1P_123,UNUSED,,,,,,,,,,,
E13,,,MGTAVCCPLL1_123,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,acam_refclk_i,IOB,IO_L37P_GCLK13_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,YES,NONE,
E17,,,VCCO_0,,,0,,,,,2.50,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,1.80,,,,
E20,p2l_data_i(12),IOB,IO_L32P_A17_M1A8_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
E21,,,GND,,,,,,,,,,,,
E22,p2l_data_i(11),IOB,IO_L32N_A16_M1A9_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
F1,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
F3,,IOBM,IO_L60P_3,UNUSED,,3,,,,,,,,,
F4,,,VCCO_3,,,3,,,,,any******,,,,
F5,,IOBM,IO_L82P_3,UNUSED,,3,,,,,,,,,
F6,,,VCCO_0,,,0,,,,,2.50,,,,
F7,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
F8,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
F9,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
F10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,IPAD,MGTREFCLK1N_123,UNUSED,,,,,,,,,,,
F13,,,GND,,,,,,,,,,,,
F14,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
F15,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
F16,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
F17,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
F18,spec_aux4_o,IOB,IO_L1P_A25_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,YES,NONE,
F19,,IOBS,IO_L1N_A24_VREF_1,VREF Required,,1,,,,,0.90,,,,
F20,spec_aux3_o,IOB,IO_L29N_A22_M1A14_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,NO,NONE,
F21,p2l_data_i(14),IOB,IO_L31P_A19_M1CKE_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
F22,p2l_data_i(13),IOB,IO_L31N_A18_M1A12_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
G1,,IOBS,IO_L52N_M3A9_3,UNUSED,,3,,,,,,,,,
G2,,,VCCO_3,,,3,,,,,any******,,,,
G3,,IOBM,IO_L52P_M3A8_3,UNUSED,,3,,,,,,,,,
G4,,IOBS,IO_L58N_3,UNUSED,,3,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,IOBS,IO_L82N_3,UNUSED,,3,,,,,,,,,
G7,,IOBS,IO_L80N_3,UNUSED,,3,,,,,,,,,
G8,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
G9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,2.50,,,,
G11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
G14,,,VCCO_0,,,0,,,,,2.50,,,,
G15,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
G16,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
G17,,,TDO,,,,,,,,,,,,
G18,,,GND,,,,,,,,,,,,
G19,spec_aux2_o,IOB,IO_L29P_A23_M1A13_1,OUTPUT,LVCMOS18,1,12,SLOW,,,,LOCATED,YES,NONE,
G20,p2l_data_i(6),IOB,IO_L35P_A11_M1A7_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
G21,,,VCCO_1,,,1,,,,,1.80,,,,
G22,p2l_data_i(5),IOB,IO_L35N_A10_M1A2_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
H1,,IOBS,IO_L50N_M3BA2_3,UNUSED,,3,,,,,,,,,
H2,,IOBM,IO_L50P_M3WE_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
H4,,IOBM,IO_L58P_3,UNUSED,,3,,,,,,,,,
H5,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
H6,,IOBM,IO_L80P_3,UNUSED,,3,,,,,,,,,
H7,,,GND,,,,,,,,,,,,
H8,,IOBS,IO_L81N_3,UNUSED,,3,,,,,,,,,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,term_en_4_o,IOB,IO_L33P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
H11,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
H12,spec_clk_i,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
H13,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
H14,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,,IOBM,IO_L9P_1,UNUSED,,1,,,,,,,,,
H17,,IOBS,IO_L9N_1,UNUSED,,1,,,,,,,,,
H18,,IOBM,IO_L30P_A21_M1RESET_1,UNUSED,,1,,,,,,,,,
H19,p2l_data_i(15),IOB,IO_L30N_A20_M1A11_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
H20,p2l_data_i(9),IOB,IO_L33N_A14_M1A4_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
H21,p2l_data_i(2),IOB,IO_L37P_A7_M1A0_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
H22,p2l_data_i(1),IOB,IO_L37N_A6_M1A1_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
J1,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,IOBM,IO_L48P_M3BA0_3,UNUSED,,3,,,,,,,,,
J4,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,any******,,,,
J6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
J7,,IOBM,IO_L81P_3,UNUSED,,3,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,p2l_rdy_o,IOB,IO_L19P_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
J17,rx_error_o,IOB,IO_L19N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,YES,NONE,
J18,,,VCCO_1,,,1,,,,,1.80,,,,
J19,p2l_data_i(10),IOB,IO_L33P_A15_M1A10_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
J20,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
J21,,,GND,,,,,,,,,,,,
J22,p2l_dframe_i,IOB,IO_L39N_M1ODT_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
K1,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
K3,,IOBS,IO_L46N_M3CLKN_3,UNUSED,,3,,,,,,,,,
K4,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
K5,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
K6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
K7,,IOBM,IO_L57P_3,UNUSED,,3,,,,,,,,,
K8,,IOBS,IO_L57N_VREF_3,UNUSED,,3,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,p_wr_rdy_o(1),IOB,IO_L21N_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
K17,p2l_data_i(4),IOB,IO_L36P_A9_M1BA0_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
K18,p2l_data_i(7),IOB,IO_L34N_A12_M1BA2_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
K19,p2l_data_i(8),IOB,IO_L34P_A13_M1WE_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
K20,p2l_data_i(0),IOB,IO_L38P_A5_M1CLK_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
K21,l2p_clk_p_o,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,DIFF_SSTL18_II,1,,,,,,LOCATED,NO,NONE,
K22,l2p_clk_n_o,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,DIFF_SSTL18_II,1,,,,,,LOCATED,NO,NONE,
L1,,IOBS,IO_L41N_GCLK26_M3DQ5_3,UNUSED,,3,,,,,,,,,
L2,,,VCCO_3,,,3,,,,,any******,,,,
L3,,IOBM,IO_L41P_GCLK27_M3DQ4_3,UNUSED,,3,,,,,,,,,
L4,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
L5,,,GND,,,,,,,,,,,,
L6,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
L7,,,VCCO_3,,,3,,,,,any******,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,p_wr_rdy_o(0),IOB,IO_L21P_1,OUTPUT,SSTL18_I,1,,,,,,LOCATED,NO,NONE,
L16,,,VCCO_1,,,1,,,,,1.80,,,,
L17,p2l_data_i(3),IOB,IO_L36N_A8_M1BA1_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
L18,,,GND,,,,,,,,,,,,
L19,p2l_valid_i,IOB,IO_L38N_A4_M1CLKN_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,NO,NONE,
L20,tdc_clk_p_i,IOB,IO_L43P_GCLK5_M1DQ4_1,INPUT,DIFF_SSTL18_II,1,,,,NONE,,LOCATED,NO,NONE,
L21,,,VCCO_1,,,1,,,,,1.80,,,,
L22,tdc_clk_n_i,IOB,IO_L43N_GCLK4_M1DQ5_1,,DIFF_SSTL18_II,1,,,,,,LOCATED,NO,,
M1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
M2,,IOBM,IO_L40P_M3DQ6_3,UNUSED,,3,,,,,,,,,
M3,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
M4,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
M5,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
M6,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
M7,,IOBM,IO_L31P_3,UNUSED,,3,,,,,,,,,
M8,,IOBS,IO_L31N_VREF_3,UNUSED,,3,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,,IOBM,IO_L58P_1,UNUSED,,1,,,,,,,,,
M17,tx_error_i,IOB,IO_L61P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M18,,IOBS,IO_L61N_1,UNUSED,,1,,,,,,,,,
M19,p2l_clk_n_i,IOB,IO_L40N_GCLK10_M1A6_1,,DIFF_SSTL18_II,1,,,,,,LOCATED,NO,,
M20,p2l_clk_p_i,IOB,IO_L40P_GCLK11_M1A5_1,INPUT,DIFF_SSTL18_II,1,,,,NONE,,LOCATED,NO,NONE,
M21,p_wr_req_i(1),IOB,IO_L44P_A3_M1DQ6_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M22,p_wr_req_i(0),IOB,IO_L44N_A2_M1DQ7_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
N1,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
N2,,,GND,,,,,,,,,,,,
N3,,IOBM,IO_L39P_M3LDQS_3,UNUSED,,3,,,,,,,,,
N4,,IOBS,IO_L42N_GCLK24_M3LDM_3,UNUSED,,3,,,,,,,,,
N5,,,VCCO_3,,,3,,,,,any******,,,,
N6,,IOBM,IO_L23P_3,UNUSED,,3,,,,,,,,,
N7,,IOBS,IO_L23N_3,UNUSED,,3,,,,,,,,,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,IOBS,IO_L58N_1,UNUSED,,1,,,,,,,,,
N16,p_rd_d_rdy_i(0),IOB,IO_L60P_1,INPUT,SSTL18_I,1,,,,NONE,,LOCATED,YES,NONE,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,1.80,,,,
N19,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
